city,country,venue,capacity,matches_hosted,date,date_type,url,prices_found,median_price,error
New York / New Jersey,USA,MetLife Stadium,82500,8,2026-06-11,match,"https://www.booking.com/searchresults.html?ss=Newark, New Jersey&checkin=2026-06-11&checkout=2026-06-12&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[137.0, 137.0, 144.0, 144.0, 145.0, 145.0, 171.0, 171.0, 178.0, 178.0, 187.0, 187.0, 188.0, 188.0, 195.0, 195.0, 199.0, 199.0, 203.0, 203.0, 206.0, 206.0, 213.0, 213.0, 216.0]",188.0,
New York / New Jersey,USA,MetLife Stadium,82500,8,2026-04-16,baseline,"https://www.booking.com/searchresults.html?ss=Newark, New Jersey&checkin=2026-04-16&checkout=2026-04-17&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
New York / New Jersey,USA,MetLife Stadium,82500,8,2026-06-18,match,"https://www.booking.com/searchresults.html?ss=Newark, New Jersey&checkin=2026-06-18&checkout=2026-06-19&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[137.0, 137.0, 144.0, 144.0, 163.0, 163.0, 178.0, 178.0, 187.0, 187.0, 187.0, 187.0, 188.0, 188.0, 206.0, 206.0, 206.0, 206.0, 216.0, 216.0, 235.0, 235.0, 238.0, 238.0, 242.0]",188.0,
New York / New Jersey,USA,MetLife Stadium,82500,8,2026-04-23,baseline,"https://www.booking.com/searchresults.html?ss=Newark, New Jersey&checkin=2026-04-23&checkout=2026-04-24&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
New York / New Jersey,USA,MetLife Stadium,82500,8,2026-07-19,match,"https://www.booking.com/searchresults.html?ss=Newark, New Jersey&checkin=2026-07-19&checkout=2026-07-20&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[132.0, 132.0, 133.0, 133.0, 137.0, 137.0, 194.0, 194.0, 198.0, 198.0, 245.0, 245.0, 305.0, 305.0, 336.0, 336.0, 339.0, 339.0, 341.0, 341.0, 345.0, 345.0, 353.0, 353.0, 367.0]",305.0,
New York / New Jersey,USA,MetLife Stadium,82500,8,2026-05-24,baseline,"https://www.booking.com/searchresults.html?ss=Newark, New Jersey&checkin=2026-05-24&checkout=2026-05-25&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[98.0, 98.0, 113.0, 113.0, 114.0, 114.0, 122.0, 122.0, 125.0, 125.0, 127.0, 127.0, 127.0, 127.0, 134.0, 134.0, 137.0, 137.0, 137.0, 137.0, 143.0, 143.0, 144.0, 144.0, 145.0]",127.0,
Los Angeles,USA,SoFi Stadium,70240,8,2026-06-13,match,"https://www.booking.com/searchresults.html?ss=Los Angeles, California&checkin=2026-06-13&checkout=2026-06-14&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[88.0, 88.0, 89.0, 89.0, 125.0, 125.0, 128.0, 128.0, 130.0, 130.0, 130.0, 130.0, 133.0, 133.0, 135.0, 135.0, 136.0, 136.0, 137.0, 137.0, 138.0, 138.0, 145.0, 145.0, 146.0]",133.0,
Los Angeles,USA,SoFi Stadium,70240,8,2026-04-18,baseline,"https://www.booking.com/searchresults.html?ss=Los Angeles, California&checkin=2026-04-18&checkout=2026-04-19&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Los Angeles,USA,SoFi Stadium,70240,8,2026-06-22,match,"https://www.booking.com/searchresults.html?ss=Los Angeles, California&checkin=2026-06-22&checkout=2026-06-23&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[80.0, 80.0, 86.0, 86.0, 100.0, 100.0, 108.0, 108.0, 108.0, 108.0, 108.0, 108.0, 111.0, 111.0, 111.0, 111.0, 111.0, 111.0, 114.0, 114.0, 119.0, 119.0, 121.0, 121.0, 126.0]",111.0,
Los Angeles,USA,SoFi Stadium,70240,8,2026-04-27,baseline,"https://www.booking.com/searchresults.html?ss=Los Angeles, California&checkin=2026-04-27&checkout=2026-04-28&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Los Angeles,USA,SoFi Stadium,70240,8,2026-07-15,match,"https://www.booking.com/searchresults.html?ss=Los Angeles, California&checkin=2026-07-15&checkout=2026-07-16&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[80.0, 80.0, 89.0, 89.0, 89.0, 89.0, 101.0, 101.0, 105.0, 105.0, 115.0, 115.0, 115.0, 115.0, 115.0, 115.0, 115.0, 115.0, 115.0, 115.0, 121.0, 121.0, 126.0, 126.0, 130.0]",115.0,
Los Angeles,USA,SoFi Stadium,70240,8,2026-05-20,baseline,"https://www.booking.com/searchresults.html?ss=Los Angeles, California&checkin=2026-05-20&checkout=2026-05-21&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[71.0, 71.0, 80.0, 80.0, 80.0, 80.0, 89.0, 89.0, 93.0, 93.0, 100.0, 100.0, 100.0, 100.0, 101.0, 101.0, 105.0, 105.0, 105.0, 105.0, 107.0, 107.0, 108.0, 108.0, 108.0]",100.0,
Dallas,USA,AT&T Stadium,80000,7,2026-06-12,match,"https://www.booking.com/searchresults.html?ss=Dallas, Texas&checkin=2026-06-12&checkout=2026-06-13&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[85.0, 85.0, 91.0, 91.0, 95.0, 95.0, 96.0, 96.0, 102.0, 102.0, 105.0, 105.0, 108.0, 108.0, 118.0, 118.0, 118.0, 118.0, 119.0, 119.0, 122.0, 122.0, 122.0, 122.0, 126.0]",108.0,
Dallas,USA,AT&T Stadium,80000,7,2026-04-17,baseline,"https://www.booking.com/searchresults.html?ss=Dallas, Texas&checkin=2026-04-17&checkout=2026-04-18&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Dallas,USA,AT&T Stadium,80000,7,2026-06-20,match,"https://www.booking.com/searchresults.html?ss=Dallas, Texas&checkin=2026-06-20&checkout=2026-06-21&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[95.0, 95.0, 95.0, 95.0, 96.0, 96.0, 102.0, 102.0, 103.0, 103.0, 105.0, 105.0, 128.0, 128.0, 129.0, 129.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 138.0]",128.0,
Dallas,USA,AT&T Stadium,80000,7,2026-04-25,baseline,"https://www.booking.com/searchresults.html?ss=Dallas, Texas&checkin=2026-04-25&checkout=2026-04-26&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Dallas,USA,AT&T Stadium,80000,7,2026-06-28,match,"https://www.booking.com/searchresults.html?ss=Dallas, Texas&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[93.0, 93.0, 95.0, 95.0, 96.0, 96.0, 98.0, 98.0, 102.0, 102.0, 103.0, 103.0, 105.0, 105.0, 105.0, 105.0, 117.0, 117.0, 118.0, 118.0, 118.0, 118.0, 118.0, 118.0, 119.0]",105.0,
Dallas,USA,AT&T Stadium,80000,7,2026-05-03,baseline,"https://www.booking.com/searchresults.html?ss=Dallas, Texas&checkin=2026-05-03&checkout=2026-05-04&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
